year,title,IMDb ID
2020,Hidden Away,tt8478554
2019,"So Long, My Son",tt9581076
2018,The Prayer,tt7839456
2017,Bright Nights,tt6425734
2016,Hedi,tt5011242
2015,45 Years,tt3544082
2014,"Black Coal, Thin Ice",tt3469910
2013,An Episode in the Life of an Iron Picker,tt2507592
2012,A Royal Affair,tt1276419
2011,A Separation,tt1832382
2010,How I Ended This Summer,tt1588875
2009,London River,tt1227787
2008,The Song of Sparrows,tt0997246
2007,The Other,tt0499540
2006,Atomised,tt0430051
2005,Thumbsucker,tt0318761
2004,Lost Embrace,tt0366137
2003,Confessions of a Dangerous Mind,tt0270288
2002,Safe Conduct,tt0269461
2001,Traffic,tt0181865
2000,The Hurricane,tt0174856
1999,Nightshapes,tt0136423
1998,Jackie Brown,tt0119396
1997,Romeo + Juliet,tt0117509
1996,Dead Man Walking,tt0112818
1995,Nobody's Fool,tt0110684
1994,Philadelphia,tt0107818
1993,Malcolm X,tt0104797
1992,Utz,tt0105712
1991,Mister Johnson,tt0102458
1990,Silent Scream,tt0100619
1989,Mississippi Burning,tt0095647
1988,Bear Ye One Another's Burden,tt0095084
1987,The Moro Affair,tt0090805
1986,The Smile of the Lamb,tt0091210
1985,Stico,tt0088173
1984,The Dresser,tt0085461
1983,That Championship Season,tt0084784
1982,Strange Affair,tt0083257
1982,The Simple-Minded Murderer,tt0083888
1981,Tribute,tt0081656
1981,Twenty Six Days from the Life of Dostoyevsky,tt0132932
1980,The Orchestra Conductor,tt0079090
1979,Ernesto,tt0079111
1978,Outrageous!,tt0076513
1977,The Anchorite,tt0074142
1976,A Lost Life,tt0073859
1975,Jacob the Liar,tt0071688
1972,In Prison Awaiting Trial,tt0066988
1971,Le Chat,tt0066906
1968,The Man Who Lies,tt0063080
1967,The Two of Us,tt0063771
1966,Masculin Féminin,tt0060675
1965,Cat Ballou,tt0059017
1964,The Pawnbroker,tt0059575
1963,Lilies of the Field,tt0057251
1962,Mr. Hobbs Takes a Vacation,tt0056255
1961,No Love for Johnnie,tt0055234
1960,Inherit The Wind,tt0053946
1959,Archimède le clochard,tt0052573
1958,The Defiant Ones,tt0051525
1957,Tizoc,tt0051090
1956,Trapeze,tt0049875
