year,title,IMDb ID
2020,Undine,tt11617052
2019,"So Long, My Son",tt9581076
2018,The Heiresses,tt7875464
2017,On the Beach at Night Alone,tt6412864
2016,The Commune,tt3082854
2015,45 Years,tt3544082
2014,The Little House,tt2530392
2013,Gloria,tt0080798
2012,War Witch,tt1820488
2011,A Separation,tt1832382
2010,Caterpillar,tt1508290
2009,Everyone Else,tt1204773
2008,Happy-Go-Lucky,tt1045670
2007,Yella,tt0806686
2006,Requiem,tt0454931
2005,Sophie Scholl – The Final Days,tt0426578
2004,Maria Full of Grace,tt0390221
2004,Monster,tt0340855
2003,The Hours,tt0274558
2002,Monster's Ball,tt0285742
2001,Intimacy,tt0256103
2000,The Legend of Rita,tt0234805
1999,Aimée & Jaguar,tt0130444
1998,Central Station,tt0140888
1997,The English Patient,tt0116209
1996,My Man,tt0117073
1995,Summer Snow,tt0111767
1994,"Ladybird, Ladybird",tt0110296
1993,Love Field,tt0104765
1992,Center Stage,tt0102816
1991,Lovers,tt0101317
1989,Camille Claudel,tt0094828
1988,Broadcast News,tt0092699
1987,Vera,tt0094248
1986,Hour of the Star,tt0089297
1986,Red Kiss,tt0088768
1985,Wrong World,tt0092241
1984,Wartime Romance,tt0086561
1983,Love by Request,tt0086554
1982,Bürgschaft für ein Jahr,tt0082125
1981,Fever,tt0082374
1980,Solo Sunny,tt0079924
1979,The Marriage of Maria Braun,tt0079095
1978,Opening Night,tt0079672
1977,The Late Show,tt0076301
1976,Nights and Days,tt0073460
1975,Sandakan No. 8,tt0073654
1972,Hammersmith Is Out,tt0068674
1971,Desperate Characters,tt0066986
1971,Le Chat,tt0066906
1968,Les Biches,tt0062728
1967,The Whisperers,tt0061180
1966,Lord Love a Duck,tt0060636
1965,Shakespeare Wallah,tt0059709
1964,The Insect Woman,tt0057363
1964,She and He,tt0057218
1963,The Mistress,tt0056733
1962,No Exit,tt0056282
1961,A Woman Is a Woman,tt0055572
1960,The Fair,tt0053996
1959,Ask Any Girl,tt0052583
1958,Wild Is the Wind,tt0051193
1957,Woman in a Dressing Gown,tt0051204
1956,Donatella,tt0049153
