year,title,IMDb ID
2025,Living the Land,tt31079597
2024,Pepe,tt10781034
2023,The Plough,tt15531718
2022,Both Sides of the Blade,tt13535920
2021,Natural Light,tt11681056
2020,The Woman Who Ran,tt11697690
2019,"I Was at Home, But",tt7760890
2018,Isle of Dogs,tt5104604
2017,The Other Side of Hope,tt5222918
2016,Things to Come,tt4120176
2015,Aferim!,tt4374460
2015,Body,tt4358230
2014,Boyhood,tt1065073
2013,Prince Avalanche,tt2195548
2012,Barbara,tt2178941
2011,Sleeping Sickness,tt1822304
2010,The Ghost Writer,tt1139328
2009,About Elly,tt1360860
2008,There Will Be Blood,tt0469494
2007,Beaufort,tt0758732
2006,The Road to Guantánamo,tt0468094
2005,Sophie Scholl - The Final Days,tt0426578
2004,Samaritan Girl,tt0397619
2003,Son frère,tt0351770
2002,Monday Morning,tt0284277
2001,Betelnut Beauty,tt0275902
2000,Man on the Moon,tt0125664
1999,The Hi-Lo Country,tt0120699
1998,The Butcher Boy,tt0118804
1997,Port Djema,tt0119920
1996,Richard III,tt0114279
1996,The Sun Has Ears,tt0117823
1995,Before Sunrise,tt0112471
1994,Three Colours: White,tt0111507
1993,The Cement Garden,tt0106535
1992,Il Capitano: A Swedish Requiem,tt0101542
1991,The Silence of the Lambs,tt0102926
1991,Ultra,tt0100835
1990,The Nasty Girl,tt0100557
1989,"I Love, You Love",tt0123920
1988,Moonstruck,tt0093565
1987,Platoon,tt0091763
1986,The Journey of a Young Composer,tt0089855
1985,Places in the Heart,tt0087921
1984,Rembetiko,tt0086182
1984,Le Bal,tt0085213
1983,Pauline at the Beach,tt0086087
1982,Il Marchese del Grillo,tt0082714
1980,Bizalom,tt0078868
1979,Winterborn,tt0078465
1978,Advantage,tt0077190
1977,Black Litter,tt0075798
1976,Caro Michele,tt0074284
1975,One Hundred Days After Childhood,tt0072208
1972,The Old Maid,tt0067949
1968,Peppermint Frappé,tt0062113
1967,The Rats Woke Up,tt0061428
1966,The Hunt,tt0060223
1965,Charulata,tt0057935
1964,Mahanagar,tt0057277
1963,Young Aphrodites,tt0057307
1962,Salvatore Giuliano,tt0055399
1961,The Miracle of Father Malachia,tt0055183
1960,Breathless,tt0053472
1959,The Hidden Fortress,tt0051808
1958,Jun'ai Monogatari,tt0052248
1957,Fathers and Sons,tt0050813
1956,Autumn Leaves,tt0048967
