year,title,IMDb ID
2026,Salvation,tt36472181
2025,The Blue Trail,tt35340614
2024,A Traveler's Needs,tt31015344
2023,Afire,tt26440619
2022,The Novelist's Film,tt17146978
2021,Wheel of Fortune and Fantasy,tt14034966
2020,Never Rarely Sometimes Always,tt7772582
2019,By the Grace of God,tt8095860
2018,Mug,tt6415416
2017,Félicité,tt5980798
2016,Death in Sarajevo,tt4466648
2015,The Club,tt4375438
2014,The Grand Budapest Hotel,tt2278388
2013,An Episode in the Life of an Iron Picker,tt2507592
2012,Just the Wind,tt2180335
2011,The Turin Horse,tt1316540
2010,"If I Want to Whistle, I Whistle",tt1590024
2009,Everyone Else,tt1204773
2009,Giant,tt1360866
2008,Standard Operating Procedure,tt0896866
2007,The Other,tt0499540
2006,Offside,tt0499537
2006,A Soap,tt0419146
2005,Peacock,tt0445506
2004,Lost Embrace,tt0366137
2003,Adaptation,tt0268126
2002,Grill Point,tt0304126
2001,Beijing Bicycle,tt0276501
2000,The Road Home,tt0235060
1999,Mifune's Last Song,tt0164756
1998,Wag the Dog,tt0120885
1997,The River,tt0119263
1996,All Things Fair,tt0113720
1995,Smoke,tt0114478
1994,Strawberry and Chocolate,tt0106966
1993,Arizona Dream,tt0106307
1992,"Sweet Emma, Dear Böbe",tt0105919
1991,The Conviction,tt0099296
1991,Satan,tt0102843
1990,The Asthenic Syndrome,tt0096841
1989,Evening Bell,tt0092192
1988,Commissar,tt0061876
1987,The Sea and Poison,tt0092128
1986,The Mass Is Ended,tt0089584
1985,Flowers of Reverie,tt0088217
1984,Funny Dirty Little War,tt0086017
1983,A Season in Hakkari,tt0084045
1982,Shivers,tt0082294
1981,Akaler Shandhaney,tt0080341
1980,Seeking Asylum,tt0078963
1979,Alexandria... Why?,tt0077751
1978,A Queda,tt0075112
1977,"The Devil, Probably",tt0075938
1976,Canoa: A Shameful Memory,tt0131335
1975,The Common Man,tt0071449
1974,The Clockmaker,tt0071622
1973,There's No Smoke Without Fire,tt0062428
1972,The Hospital,tt0067217
1971,The Decameron,tt0065622
1970,o.k.,tt0066171
1968,Innocence Unprotected,tt0063342
1968,Signs of Life,tt0063218
1968,Something Like Love,tt0166140
1967,La Collectionneuse,tt0061495
1967,"Next Year, Same Time",tt0061346
1966,The Chasers,tt0059326
1966,No Shooting Time for Foxes,tt0060946
1965,Le Bonheur,tt0058985
