year,title,IMDb ID
2025,Kontinental '25,tt35492581
2024,Dying,tt27165281
2023,Music,tt15547924
2022,Rabiye Kurnaz vs. George W. Bush,tt13471738
2021,Introduction,tt14035108
2020,Bad Tales,tt8526370
2019,Piranhas,tt8740778
2018,Museum,tt4958448
2017,A Fantastic Woman,tt5639354
2016,United States of Love,tt5333110
2015,The Pearl Button,tt4377864
2014,Stations of the Cross,tt3465916
2013,Closed Curtain,tt2626926
2012,A Royal Affair,tt1276419
2011,The Forgiveness of Blood,tt1787127
2010,Apart Together,tt1587878
2009,The Messenger,tt0790712
2008,In Love We Trust,tt1018102
