year,title,IMDb ID
2026,Elsinore,tt37363222
2026,The Debut,tt34718200
2025,Wake Up Dead Man: A Knives Out Mystery,tt14364480
2025,100 Nights of Hero,tt33350512
2025,One Woman One Bra,tt37673420
2025,Our Land,tt9859510
2025,Tuner,tt33296751
2024,Blitz,tt15939198
2024,Piece by Piece,tt31064841
2024,On Falling,tt30766504
2024,Memoir of a Snail,tt23770030
2024,Saturday Night,tt27657135
2023,Saltburn,tt17351924
2023,The Kitchen,tt4460800
2023,Paradise is Burning,tt21874690
2023,Evil Does Not Exist,tt28490044
2023,Ferrari,tt3758542
2022,Roald Dahl's Matilda the Musical,tt3447590
2022,Glass Onion: A Knives Out Mystery,tt11564570
2022,Corsage,tt11992694
2022,The Menu,tt9764362
2021,The Harder They Fall,tt10696784
2021,The Tragedy of Macbeth,tt10095582
2021,Playground,tt11087960
2021,Hit the Road,tt14812782
2021,C'mon C'mon,tt10986222
2020,Mangrove,tt10551100
2020,Ammonite,tt7983894
2020,Another Round,tt10288566
2019,The Personal History of David Copperfield,tt6439020
2019,The Irishman,tt1302006
2019,Atlantics,tt10199586
2019,Monos,tt6062774
2019,Uncut Gems,tt5727208
2018,Widows,tt4218572
2018,Stan & Ollie,tt3385524
2018,Girl,tt8254556
2018,Joy,tt8917752
2018,Green Book,tt6966692
2018,Tricia Tuttle,tt18312380
2017,Breathe,tt5716464
2017,"Three Billboards Outside Ebbing, Missouri",tt5027774
2017,The Wound,tt6333070
2017,Loveless,tt6304162
2017,Lady Bird,tt4925292
2016,A United Kingdom,tt3387266
2016,Free Fire,tt4158096
2016,Raw,tt4954522
2016,Certain Women,tt4468634
2016,Sully,tt3263904
2015,Suffragette,tt3077214
2015,Steve Jobs,tt2080374
2015,The Witch,tt4263482
2015,Chevalier,tt3526706
2015,Anomalisa,tt2401878
2014,The Imitation Game,tt2084970
2014,Fury,tt2713180
2014,The Tribe,tt1745787
2014,Leviathan,tt2802154
2014,Birdman,tt2562232
2013,Captain Phillips,tt1535109
2013,Saving Mr. Banks,tt2140373
2013,Ilo Ilo,tt2901736
2013,Ida,tt2718492
2013,The Grandmaster,tt1462900
2012,Frankenweenie,tt1142977
2012,Great Expectations,tt1836808
2012,Beasts of the Southern Wild,tt2125435
2012,Rust and Bone,tt2053425
2012,Silver Linings Playbook,tt1045658
2012,Clare Stewart,tt2534670
2011,The Deep Blue Sea,tt1700844
2011,Las Acacias,tt1754078
2011,We Need to Talk About Kevin,tt1242460
2010,Never Let Me Go,tt1334260
2010,127 Hours,tt1542344
2010,The Arbor,tt1623008
2010,How I Ended This Summer,tt1588875
2009,Fantastic Mr. Fox,tt0432283
2009,Nowhere Boy,tt1266029
2009,Ajami,tt1077262
2009,Un prophète,tt1235166
2009,Capitalism: A Love Story,tt1232207
2008,Frost/Nixon,tt0870111
2008,Slumdog Millionaire,tt1010048
2008,Tulpan,tt0436854
2007,Eastern Promises,tt0765443
2007,The Darjeeling Limited,tt0838221
2007,Persepolis,tt0808417
2006,The Last King of Scotland,tt0455590
2006,Babel,tt0449467
2006,Red Road,tt0471030
2005,The Constant Gardener,tt0387131
2005,"Good Night, and Good Luck",tt0433383
2004,Vera Drake,tt0383694
2004,I Heart Huckabees,tt0356721
2004,Tarnation,tt0390538
2004,Sideways,tt0375063
2003,In the Cut,tt0199626
2003,Sylvia,tt0325055
2003,Osama,tt0368913
2002,Dirty Pretty Things,tt0301199
2002,The Heart of Me,tt0301390
2002,Carnages,tt0280523
2001,Gosford Park,tt0280707
2001,K-PAX,tt0272152
2001,The Warrior,tt0295682
2000,Almost Famous,tt0181875
2000,Born Romantic,tt0236034
2000,You Can Count on Me,tt0203230
1999,Ride with the Devil,tt0134154
1999,American Beauty,tt0169547
1999,Ratcatcher,tt0171685
1998,Little Voice,tt0147004
1998,Bulworth,tt0118798
1998,The Apple,tt0156901
1997,Keep the Aspidistra Flying,tt0119453
1997,One Night Stand,tt0119832
1997,The Life of Jesus,tt0120448
1996,The First Wives Club,tt0116313
1996,Blood and Wine,tt0115710
1995,Strange Days,tt0114558
1995,Casino,tt0112641
1995,The Silences of the Palace,tt0111055
1994,Mary Shelley's Frankenstein,tt0109836
1994,Léon,tt0110413
1994,The Scent of Green Papaya,tt0107617
1994,Bullets Over Broadway,tt0109348
1993,The Remains of the Day,tt0107943
1993,Farewell My Concubine,tt0106332
1993,Vacas,tt0103186
1992,Peter's Friends,tt0105130
1992,Blade Runner - The Director's Cut,tt0083658
1992,Proof,tt0102721
1991,Enchanted April,tt0101811
1991,Afraid of the Dark,tt0101276
1990,Texasville,tt0103069
1990,The Sheltering Sky,tt0100594
1990,The Fabulous Baker Boys,tt0097322
1989,Parenthood,tt0098067
1989,What Time Is It?,tt17824602
1989,Pathfinder,tt0093668
1988,Things Change,tt0096259
1988,For Queen and Country,tt0097373
1987,Dark Eyes,tt0093664
1987,Sammy and Rosie Get Laid,tt0093913
1987,Terrorizers,tt0091355
1987,Sheila Whitaker,tt0094167
1986,Castaway,tt0092732
1986,Gothic,tt0091142
1986,Comrades,tt0092772
1986,The Color of Money,tt0090863
1985,Ran,tt0089881
1985,Year of the Dragon,tt0090350
1985,Yellow Earth,tt0087433
1985,A Chorus Line,tt0088915
