year,title,IMDb ID
2026,Coward,tt39328391
2026,Valentin Campagne,tt5232490
2025,The Secret Agent,tt27847051
2024,Kinds of Kindness,tt22408160
2023,Perfect Days,tt27503384
2022,Broker,tt13056052
2021,Nitram,tt13694628
2019,Pain and Glory,tt8291806
2018,Dogman,tt6768578
2017,You Were Never Really Here,tt5742374
2017,The Master,tt1560747
2016,The Salesman,tt5186714
2016,A Separation,tt1832382
2015,The Measure of a Man,tt4428814
2015,The Quiet Son,tt28601337
2014,Mr. Turner,tt2473794
2013,Nebraska,tt1821549
2013,That Championship Season,tt0084784
2012,The Hunt,tt2106476
2011,The Artist,tt1655442
2010,Biutiful,tt1164999
2010,La nostra vita,tt1509636
2010,Before Night Falls,tt0247196
2009,Inglourious Basterds,tt0361748
2008,Che,tt0892255
2008,Traffic,tt0181865
2007,The Banishment,tt0488905
2006,Days of Glory,tt0444182
2006,Bernard Blancan,tt0470715
2006,Jamel Debbouze,tt1220911
2006,Samy Naceri,tt0804540
2005,The Three Burials of Melquiades Estrada,tt0419294
2004,Nobody Knows,tt0408664
2004,The Sea Inside,tt0369702
2004,Hidden Away,tt8478554
2003,Uzak,tt0346094
2003,21 Grams,tt0315733
2002,The Son,tt0291172
2001,The Piano Teacher,tt0254686
2000,In the Mood for Love,tt0118694
1999,Humanité,tt0197569
1998,My Name Is Joe,tt0151691
1997,She's So Lovely,tt0120112
1997,Dead Man Walking,tt0112818
1997,Hurlyburly,tt0119336
1996,The Eighth Day,tt0116581
1995,Carrington,tt0112637
1994,To Live,tt0110081
1993,Naked,tt0107653
1993,"1, 2, 3, Sun",tt0108435
1993,Tribute,tt0081656
1993,Glengarry Glen Ross,tt0104348
1992,The Player,tt0105151
1991,Barton Fink,tt0101410
1991,Jungle Fever,tt0102175
1991,Jackie Brown,tt0119396
1990,Cyrano de Bergerac,tt0099334
1990,Police,tt0089821
1989,"Sex, Lies, and Videotape",tt0098724
1988,Bird,tt0094747
1987,Dark Eyes,tt0093664
1986,Evening Dress,tt0092068
1986,Mona Lisa,tt0091538
1985,Kiss of the Spider Woman,tt0089424
1984,The Holy Innocents,tt0088040
1984,Francisco Rabal,tt3165636
1983,The Death of Mario Ricci,tt0085963
1983,The Moro Affair,tt0090805
1982,Missing,tt0084335
1981,Tragedy of a Ridiculous Man,tt0084813
1981,Chariots of Fire,tt0082158
1980,A Leap in the Dark,tt0079845
1980,Breaker Morant,tt0080310
1980,Strange Affair,tt0083257
1979,The China Syndrome,tt0078966
1979,Dear Father,tt0078942
1978,Coming Home,tt0077362
1977,"Elisa, vida mía",tt0075983
1976,Pascual Duarte,tt0073518
1975,Scent of a Woman,tt0072037
1974,The Last Detail,tt0070290
1973,Love and Anarchy,tt0070061
1972,We Won't Grow Old Together,tt0069027
1971,Sacco & Vanzetti,tt0067698
1970,The Pizza Triangle,tt0065662
1969,Jean-Louis Trintignant,tt0063789
1969,The Man Who Lies,tt0063080
1969,What Time Is It?,tt17824602
1967,Three Days and a Child,tt0138100
1966,Hunger,tt0061042
1965,The Collector,tt0059043
1964,Drama of the Lark,tt0057394
1964,Seduced and Abandoned,tt0058564
1963,This Sporting Life,tt0057578
1962,A Taste of Honey,tt0055506
1962,Long Day's Journey into Night,tt0056196
1962,Jason Robards,tt0057197
1962,Edmund Tyrone,tt0020514
1961,Goodbye Again,tt0054936
1959,Compulsion,tt0052700
1959,Orson Welles,tt0052311
1958,"The Long, Hot Summer",tt0051878
1958,Nobody's Fool,tt0110684
1957,Valley of Peace,tt0049150
1955,Bad Day at Black Rock,tt0047849
1955,A Big Family,tt0046797
1955,Boris Andreyev,tt0049358
1955,Aleksey Batalov,tt0061121
1955,Nikolai Gritsenko,tt0061359
1955,Pavel Kadochnikov,tt0053317
1952,Viva Zapata!,tt0045296
1951,The Browning Version,tt0043362
1949,House of Strangers,tt0041487
1946,The Lost Weekend,tt0037884
