year,title,IMDb ID
2026,All of a Sudden,tt36834996
2026,Virginie Efira,tt33852162
2025,The Little Sister,tt28326501
2024,Emilia Pérez,tt20221436
2024,Selena Gomez,tt21819250
2024,Adriana Paz,tt21087452
2024,Zoe Saldaña,tt1757678
2023,About Dry Grasses,tt13231544
2022,Holy Spider,tt18550140
2021,The Worst Person in the World,tt10370710
2019,Little Joe,tt9204204
2018,Ayka,tt8305116
2017,In the Fade,tt5723272
2016,Ma' Rosa,tt5638094
2015,Mon Roi,tt3478962
2015,Carol,tt2402927
2014,Maps to the Stars,tt2172584
2013,The Past,tt2404461
2012,Beyond the Hills,tt2258281
2011,Melancholia,tt1527186
2010,Certified Copy,tt1020773
2009,Antichrist,tt0870984
2008,Linha de Passe,tt1047833
2007,Secret Sunshine,tt0817225
2006,Volver,tt0453556
2006,Carmen Maura,tt0441909
2006,Lola Dueñas,tt0119005
2006,Yohana Cobo,tt8480734
2006,Chus Lampreave,tt0421920
2005,Free Zone,tt0441761
2004,Clean,tt0388838
2003,The Barbarian Invasions,tt0338135
2002,The Man Without a Past,tt0311519
2001,The Piano Teacher,tt0254686
2000,Dancer in the Dark,tt0168629
1999,Humanité,tt0197569
1999,Rosetta,tt0200071
1998,The Dreamlife of Angels,tt0120449
1997,Nil by Mouth,tt0119792
1996,Secrets & Lies,tt0117589
1995,The Madness of King George,tt0110428
1994,La Reine Margot,tt0110963
1993,The Piano,tt0107822
1992,The Best Intentions,tt0104350
1991,The Double Life of Veronique,tt0101765
1990,Interrogation,tt0084548
1989,A Cry in the Dark,tt0094924
1988,A World Apart,tt0096464
1988,Jodhi May,tt0093278
1988,Linda Mvusi,tt0095930
1987,Shy People,tt0093964
1986,Rosa Luxemburg,tt0091869
1986,Love Me Forever or Never,tt0122480
1985,The Official Story,tt0089276
1985,Mask,tt0089560
1984,Cal,tt0087019
1983,The Story of Piera,tt0086372
1982,Another Way,tt0083872
1981,Possession,tt0082933
1981,Quartet,tt0082964
1981,Faktas,tt0150497
1980,A Leap in the Dark,tt0079845
1980,Special Treatment,tt0081546
1980,La terrazza,tt0081616
1979,Norma Rae,tt0079638
1979,Woyzeck,tt0080149
1978,An Unmarried Woman,tt0078444
1978,Violette Nozière,tt0078467
1977,3 Women,tt0075612
1977,J.A. Martin Photographer,tt0074702
1976,The Inheritance,tt0074487
1976,Mrs. Dery Where Are You?,tt0158595
1975,Lenny,tt0071746
1974,Violins at the Ball,tt0072371
1973,The Effect of Gamma Rays on Man-in-the-Moon Marigolds,tt0068528
1972,Images,tt0068732
1971,The Panic in Needle Park,tt0067549
1970,Metello,tt0066075
1969,Isadora,tt0063141
1967,Elvira Madigan,tt0061620
1966,Morgan – A Suitable Case for Treatment,tt0060714
1965,The Collector,tt0059043
1964,The Pumpkin Eater,tt0058500
1964,"One Potato, Two Potato",tt0058429
1963,The Conjugal Bed,tt0057532
1962,Long Day's Journey into Night,tt0056196
1962,A Taste of Honey,tt0055506
1961,Two Women,tt0054749
1960,Never on Sunday,tt0054198
1960,Seven Days... Seven Nights,tt0054091
1959,Room at the Top,tt0053226
1958,Brink of Life,tt0052017
1958,Ingrid Thulin,tt0050986
1957,Nights of Cabiria,tt0065054
1956,I'll Cry Tomorrow,tt0048191
1955,A Big Family,tt0046800
1955,Vera Kuznetsova,tt0047647
1955,Klara Luchko,tt0049166
1955,Ekaterina Savinova,tt0058770
1955,Iya Arepina,tt0084696
1955,Larisa Kronberg,tt0147800
1952,Detective Story,tt0043465
1951,All About Eve,tt0042192
1949,The Walls of Malapaga,tt0040137
1946,Pastoral Symphony,tt0039004
