year,title,IMDb ID
2025,The Secret Agent,tt27847051
2024,Grand Tour,tt27180099
2023,The Taste of Things,tt19760052
2022,Decision to Leave,tt12477480
2021,Annette,tt6217926
2019,Young Ahmed,tt8359822
2018,Cold War,tt6543652
2017,The Beguiled,tt5592248
2016,Personal Shopper,tt4714782
2015,The Assassin,tt3508840
2014,Foxcatcher,tt1100089
2013,Heli,tt2852376
2012,Post Tenebras Lux,tt1754367
2011,Drive,tt0780504
2010,On Tour,tt1451762
2009,Butchered,tt1423592
2008,Three Monkeys,tt1233381
2007,The Diving Bell and the Butterfly,tt0401383
2006,Babel,tt0449467
2005,Caché,tt0387898
2004,Exils,tt0400420
2003,Elephant,tt0363589
2002,Punch-Drunk Love,tt0272338
2001,The Man Who Wasn't There,tt0243133
2001,David Lynch,tt1705102
2000,Yi Yi,tt0244316
1999,All About My Mother,tt0185125
1998,The General,tt0120706
1997,Happy Together,tt0118845
1996,Fargo,tt0116282
1995,La Haine,tt0113247
1994,Caro diario,tt0109382
1993,Naked,tt0107653
1992,The Player,tt0105151
1991,Barton Fink,tt0101410
1990,Taxi Blues,tt0100757
1989,Time of the Gypsies,tt0097223
1988,Sur,tt0094076
1987,Wings of Desire,tt0093191
1986,After Hours,tt0088680
1985,Rendez-vous,tt0089902
1984,A Sunday in the Country,tt0088318
1983,L'Argent,tt0085180
1983,Andrei Tarkovsky,tt2638384
1982,Fitzcarraldo,tt0083946
1979,Days of Heaven,tt0077405
1978,Empire of Passion,tt0077132
1976,Down and Dirty,tt0074252
1975,Orders,tt0071949
1975,Costa-Gavras,tt0065234
1972,Red Psalm,tt0067467
1970,Leo the Last,tt0065974
1969,Antonio das Mortes,tt0064256
1967,Ten Thousand Days,tt0059838
1966,Lenin in Poland,tt0060625
1965,Forest of the Hanged,tt0058439
1961,Chronicle of Flaming Years,tt0054199
1959,The 400 Blows,tt0053198
1958,Brink of Life,tt0052017
1957,A Man Escaped,tt0049902
1956,Othello,tt0048455
1955,Rififi,tt0048021
1952,Fanfan la Tulipe,tt0044602
1951,Los Olvidados,tt0042804
1949,The Walls of Malapaga,tt0040137
1946,The Battle of the Rails,tt0038334
