year,title,IMDb ID
2025,Young Mothers,tt32909489
2024,The Substance,tt17526714
2023,Monster,tt23736044
2022,Boy from Heaven,tt15452062
2021,Drive My Car,tt14039582
2019,Portrait of a Lady on Fire,tt8613070
2018,3 Faces,tt8269552
2018,Happy as Lazzaro,tt6752992
2017,The Killing of a Sacred Deer,tt5715874
2017,You Were Never Really Here,tt5742374
2016,The Salesman,tt5186714
2015,Chronic,tt3850496
2014,Leviathan,tt2802154
2013,A Touch of Sin,tt2852400
2012,Beyond the Hills,tt2258281
2011,Footnote,tt1445520
2010,Poetry,tt1287878
2009,Spring Fever,tt1422119
2008,Lorna's Silence,tt1186369
2007,The Edge of Heaven,tt0880502
2006,Volver,tt0453556
2005,The Three Burials of Melquiades Estrada,tt0419294
2004,Look at Me,tt0374583
2003,The Barbarian Invasions,tt0338135
2002,Sweet Sixteen,tt0313670
2001,No Man's Land,tt0283509
2000,Nurse Betty,tt0171580
1999,Moloch,tt0199777
1998,Henry Fool,tt0122529
1997,The Ice Storm,tt0119349
1996,A Self Made Hero,tt0118020
1994,Grosse fatigue,tt0109942
1984,Voyage to Cythera,tt0088241
1982,Moonlighting,tt0084354
1981,Mephisto,tt0082736
1980,La Terrazza,tt0081616
1974,The Sugarland Express,tt0072226
1967,The Killing Game,tt0061841
1967,We Still Kill the Old Way,tt0061320
1965,The Hill,tt0059274
1965,The 317th Platoon,tt0058863
1963,Codine,tt0129831
1958,Young Husbands,tt0050435
1952,Cops and Robbers,tt0043606
1951,The Browning Version,tt0043362
1949,Lost Boundaries,tt0041600
