year,title,IMDb ID
2025,Sentimental Value,tt27714581
2024,All We Imagine as Light,tt32086077
2023,The Zone of Interest,tt7160372
2022,Close,tt9660502
2022,Stars at Noon,tt10354106
2021,Compartment No. 6,tt10262648
2021,A Hero,tt11777738
2019,Atlantics,tt10199586
2018,BlacKkKlansman,tt7349662
2017,BPM (Beats per Minute),tt6135348
2016,It's Only the End of the World,tt4645368
2015,Son of Saul,tt3808342
2014,The Wonders,tt3044244
2013,Inside Llewyn Davis,tt2042568
2012,Reality,tt1846487
2011,The Kid with a Bike,tt1827512
2011,Once Upon a Time in Anatolia,tt1827487
2010,Of Gods and Men,tt1588337
2009,A Prophet,tt1235166
2008,Gomorrah,tt0929425
2007,The Mourning Forest,tt1016205
2006,Flanders,tt0450680
2005,Broken Flowers,tt0412019
2004,Oldboy,tt0364569
2003,Uzak,tt0346094
2002,The Man Without a Past,tt0311519
2001,The Piano Teacher,tt0254686
2000,Devils on the Doorstep,tt0245929
1999,Humanité,tt0197569
1998,Life Is Beautiful,tt0118799
1997,The Sweet Hereafter,tt0120255
1996,Breaking the Waves,tt0115751
1995,Ulysses' Gaze,tt0114863
1994,Burnt by the Sun,tt0111579
1994,To Live,tt0110081
1993,"Faraway, So Close!",tt0107209
1992,The Stolen Children,tt0104663
1991,La Belle Noiseuse,tt0101428
1990,The Sting of Death,tt0131012
1990,Tilaï,tt0100784
1989,Cinema Paradiso,tt0095765
1989,Too Beautiful for You,tt0098520
1988,A World Apart,tt0096464
1987,Repentance,tt0093754
1986,The Sacrifice,tt0091670
1985,Birdy,tt0086969
1984,Diary for My Children,tt0084388
1983,Monty Python's The Meaning of Life,tt0085959
1982,The Night of the Shooting Stars,tt0084422
1981,Light Years Away,tt0080373
1980,My American Uncle,tt0081176
1979,Siberiade,tt0079907
1978,Bye Bye Monkey,tt0075848
1978,The Shout,tt0078259
1976,Cría Cuervos,tt0074360
1976,The Marquise of O,tt0074870
1975,The Enigma of Kaspar Hauser,tt0071691
1974,Arabian Nights,tt0071502
1973,The Mother and the Whore,tt0070359
1972,Solaris,tt0069293
1971,Johnny Got His Gun,tt0067277
1971,Taking Off,tt0067820
1970,Investigation of a Citizen Above Suspicion,tt0065889
1969,Ådalen 31,tt0065261
1967,Accident,tt0061328
1967,I Even Met Happy Gypsies,tt0062277
