year,title,IMDb ID
2025,Sirāt,tt32298285
2025,Sound of Falling,tt28690468
2024,Emilia Pérez,tt20221436
2023,Fallen Leaves,tt21027780
2022,The Eight Mountains,tt14641542
2022,EO,tt19652910
2021,Ahed's Knee,tt12494638
2021,Memoria,tt8399288
2019,Bacurau,tt2762506
2019,Les Misérables,tt10199590
2018,Capernaum,tt8267604
2017,Loveless,tt6304162
2016,American Honey,tt3721936
2015,The Lobster,tt3464902
2014,Goodbye to Language,tt2400275
2014,Mommy,tt3612616
2013,"Like Father, Like Son",tt2331143
2012,The Angels' Share,tt1924394
2011,Polisse,tt1661420
2010,A Screaming Man,tt1639901
2009,Fish Tank,tt1232776
2009,Thirst,tt0762073
2008,Il divo,tt1023490
2007,Persepolis,tt0808417
2007,Silent Light,tt0841925
2006,Red Road,tt0471030
2005,Shanghai Dreams,tt0456658
2004,The Ladykillers,tt0335245
2004,Tropical Malady,tt0381668
2003,At Five in the Afternoon,tt0363303
2002,Divine Intervention,tt0274428
2000,Blackboards,tt0246266
2000,Songs from the Second Floor,tt0120263
1999,The Letter,tt0158117
1998,The Celebration,tt0154420
1998,Class Trip,tt0156408
1997,Western,tt0120494
1996,Crash,tt0375679
1995,Don't Forget You're Going to Die,tt0113909
1995,Carrington,tt0112637
1994,La Reine Margot,tt0110963
1993,The Puppetmaster,tt0107157
1993,Raining Stones,tt0107920
1992,Dream of Light,tt0105438
1992,An Independent Life,tt0105309
1991,Europa,tt0101829
1991,Out of Life,tt0102058
1990,Hidden Agenda,tt0099768
1989,Jesus of Montreal,tt0097635
1988,A Short Film About Killing,tt0095468
1987,Shinran: Path to Purity,tt0170569
1987,Yeelen,tt0094349
1986,Thérèse,tt0092090
1985,Colonel Redl,tt0089716
1983,Kharij,tt0084198
1980,The Constant Factor,tt0080561
1974,La prima Angélica,tt0072030
1973,The Hourglass Sanatorium,tt0070628
1973,The Invitation,tt0070224
1972,Slaughterhouse-Five,tt0069280
1971,Joe Hill,tt0067276
1971,Love,tt0067814
1970,The Falcons,tt0066035
1970,The Strawberry Statement,tt0066415
1966,Alfie,tt0060086
1965,Kwaidan,tt0058279
1964,Woman in the Dunes,tt0058625
1963,The Cassandra Cat,tt0056844
1963,Harakiri,tt0056058
1962,L'Eclisse,tt0056736
1962,The Trial of Joan of Arc,tt0059616
1961,Mother Joan of the Angels,tt0055153
1960,L'Avventura,tt0053580
1960,Odd Obsession,tt0052957
1959,Stars,tt0053306
1958,Mon Oncle,tt0050706
1957,Kanał,tt0050585
1957,The Seventh Seal,tt0050976
1956,The Mystery of Picasso,tt0049531
1955,Lost Continent,tt0046871
1954,Knave of Hearts,tt0047243
1952,We Are All Murderers,tt0044977
1951,All About Eve,tt0042192
1946,The Battle of the Rails,tt0038334
