year,title,IMDb ID
2025,I'm Still Here,tt14961016
2024,Poor Things,tt14230458
2023,Fallen Leaves,tt21027780
2022,Drive My Car,tt14039582
2021,Nomadland,tt9770150
2019,Roma,tt6155172
2018,Phantom Thread,tt5776858
2017,The Other Side of Hope,tt5222918
2016,Toni Erdmann,tt4048272
2015,Mad Max: Fury Road,tt1392190
2014,Boyhood,tt1065073
2013,Blue Is the Warmest Colour,tt2278871
2012,Amour,tt1602620
2011,The Tree of Life,tt0478304
2010,The Ghost Writer,tt1139328
2009,The White Ribbon,tt1149362
2008,There Will Be Blood,tt0469494
2007,"4 Months, 3 Weeks and 2 Days",tt1032846
2006,Volver,tt0453556
2005,3-Iron,tt0423866
2004,Notre musique,tt0360845
2003,Uzak,tt0346094
2002,The Man Without a Past,tt0311519
2001,The Circle,tt0255094
2000,Magnolia,tt0175880
1999,All About My Mother,tt0185125
