year,title,IMDb ID
2025,Father Mother Sister Brother,tt31189315
2024,The Room Next Door,tt29439114
2023,Poor Things,tt14230458
2022,All the Beauty and the Bloodshed,tt21374850
2021,Happening,tt13880104
2020,Nomadland,tt9770150
2019,Joker,tt7286456
2018,Roma,tt6155172
2017,The Shape of Water,tt5580390
2016,The Woman Who Left,tt5843990
2015,From Afar,tt4721400
2014,A Pigeon Sat on a Branch Reflecting on Existence,tt1883180
2013,Sacro GRA,tt3172520
2012,Pietà,tt2299842
2011,Faust,tt1437357
2010,Somewhere,tt1421051
2009,Lebanon,tt1483831
2008,The Wrestler,tt1125849
2007,"Lust, Caution",tt0808357
2006,Still Life,tt0859765
2005,Brokeback Mountain,tt0388795
2004,Vera Drake,tt0383694
2003,The Return,tt0376968
2002,The Magdalene Sisters,tt0318411
2001,Monsoon Wedding,tt0265343
2000,The Circle,tt0255094
1999,Not One Less,tt0209189
1998,The Way We Laughed,tt0139951
1997,Hana-bi,tt0119250
1996,Michael Collins,tt0117039
1995,Cyclo,tt0112767
1994,Before the Rain,tt0110882
1994,Vive L'Amour,tt0109066
1993,Short Cuts,tt0108122
1993,Three Colours: Blue,tt0108394
1992,The Story of Qiu Ju,tt0105197
1991,Close to Eden,tt0103176
1990,Rosencrantz & Guildenstern Are Dead,tt0100519
1989,A City of Sadness,tt0096908
1988,The Legend of the Holy Drinker,tt0095513
1987,Au revoir les enfants,tt0092593
1986,The Green Ray,tt0091830
1985,Vagabond,tt0089960
1984,A Year of the Quiet Sun,tt0088009
1983,First Name: Carmen,tt0086153
1982,The State of Things,tt0084725
1981,Marianne and Juliane,tt0082081
1980,Atlantic City,tt0080388
1980,Gloria,tt0080798
1968,Artists Under the Big Top: Perplexed,tt0062679
1967,Belle de Jour,tt0061395
1966,The Battle of Algiers,tt0058946
1965,Sandra,tt0059856
1964,Red Desert,tt0058003
1963,Hands over the City,tt0057286
1962,Family Diary,tt0056966
1962,Ivan's Childhood,tt0056111
1961,Last Year at Marienbad,tt0054632
1960,Tomorrow Is My Turn,tt0054161
1959,General Della Rovere,tt0053856
1959,The Great War,tt0052861
1958,Rickshaw Man,tt0051955
1957,Aparajito,tt0048956
1955,Ordet,tt0048452
1954,Romeo and Juliet,tt0047029
1952,Forbidden Games,tt0043686
1951,Rashomon,tt0042876
1950,Justice Is Done,tt0042625
1949,Manon,tt0041634
