year,title,IMDb ID
2019,In a Whisper,tt11383174
2014,Of Men and War,tt3704008
2013,Song from the Forest,tt3003858
2012,First Cousin Once Removed,tt2615134
2010,Position Among the Stars,tt1742178
2009,Last Train Home,tt1512201
2008,Burma VJ: Reporting from a Closed Country,tt1333634
2006,The Monastery: Mr. Vig and the Nun,tt0925259
2004,Stand van de maan,tt0436794
2003,Checkpoint,tt0391857
2002,Stevie,tt0334416
2000,The Sea That Thinks,tt0261277
1998,Fotoamator,tt0188996
1996,Atman,tt0115585
1992,La Memoria del agua,tt0104851
1989,Šķērsiela,tt0128798
1988,Birthplace Unknown,tt0233348
