year,title,IMDb ID
2025,Better Go Mad in the Wild,tt37438800
2024,A Sudden Glimpse to Deeper Things,tt32477916
2023,Blaga's Lessons,tt27996716
2022,Summer with Hope,tt20769484
2021,As Far as I Can Walk,tt9371666
2019,The Father,tt10409554
2018,I Do Not Care If We Go Down in History as Barbarians,tt8506840
2017,Little Crusader,tt3474438
2016,It's Not the Time of My Life,tt5537614
2015,Bob and the Trees,tt3473410
2014,Corn Island,tt1863192
2013,The Notebook,tt2324384
2012,The Almost Man,tt2195498
2011,Restoration,tt1787663
2010,The Mosquito Net,tt1274645
2009,Angel at Sea,tt1356860
2008,Terribly Happy,tt1087890
2007,Jar City,tt0805576
2006,Sherrybaby,tt0423169
2005,My Nikifor,tt0425278
2004,A Children's Story,tt0414891
2003,Facing Windows,tt0352343
2002,Year of the Devil,tt0282917
2001,Amélie,tt0211915
2000,Me You Them,tt0244504
1999,Yana's Friends,tt0162909
1998,Streetheart,tt0148002
1997,My Life in Pink,tt0119590
1996,Prisoner of the Mountains,tt0116754
1995,The Ride,tt0110202
1994,My Soul Brother,tt0107564
1988,Hibiscus Town,tt0087301
1986,A Street to Die,tt0090088
1984,Lev Tolstoy,tt0087615
1982,Red Bells,tt0084222
1980,The Fiancee,tt0081711
1978,Shadows of a Hot Summer,tt0076765
1978,White Bim Black Ear,tt0077222
1976,Cantata de Chile,tt0072760
1974,A Lover's Romance,tt0072096
1972,Taming of the Fire,tt0069434
1970,Kes,tt0064541
1968,Capricious Summer,tt0063527
1964,Accused,tt0058424
1962,Nine Days of One Year,tt0054803
1960,Seryozha,tt0054293
1958,And Quiet Flows the Don,tt0051082
1958,Stepbrothers,tt0262478
1957,Jagte Raho,tt0049378
1956,If All the Guys in the World,tt0049703
1954,Salt of the Earth,tt0047443
1954,True Friends,tt0047650
1952,The Unforgettable Year 1919,tt0044964
1951,Dream of a Cossack,tt0043701
1950,The Fall of Berlin,tt0041727
1949,The Battle of Stalingrad 1,tt0041916
1948,The Last Stage,tt0040674
