year,title,IMDb ID
2026,Hong Sang-soo,tt2776354
2025,Abbas Fahdel,tt4413794
2024,Laurynas Bareiša,tt22408160
2022,Valentina Maurel,tt21227238
2021,Abel Ferrara,tt13432484
2018,Dominga Sotomayor,tt8726098
2016,João Pedro Rodrigues,tt4929038
2015,Andrzej Żuławski,tt4035268
2014,Pedro Costa,tt0869155
2013,Hong Sang-soo,tt2776354
2012,Ying Liang,tt1410063
2011,Adrian Sitaru,tt1741694
2010,Denis Côté,tt2554006
2009,"Tambourine, Drum",tt1435475
2008,Denis Côté,tt2554006
2007,Philippe Ramos,tt0824298
2006,Le Dernier des fous,tt0498103
1960,Mark Donskoy,tt4634728
1948,John Ford,tt0040369
1948,Roberto Rossellini,tt0039417
1947,Man About Town,tt0039823
1946,René Clair,tt0037515
