year,title,IMDb ID
2026,You Don't Belong Here,tt39228759
2025,"Two Seasons, Two Strangers",tt37538491
2024,Toxic,tt30327762
2023,Critical Zone,tt27720531
2022,Rule 34,tt15520368
2021,"Vengeance Is Mine, All Others Pay Cash",tt13387422
2019,Vitalina Varela,tt8241872
2018,A Land Imagined,tt8726116
2017,Mrs. Fang,tt7155262
2016,Godless,tt5451054
2015,"Right Now, Wrong Then",tt4768776
2014,From What Is Before,tt3303310
2013,Story of My Death,tt3102458
2012,The Girl from Nowhere,tt2332514
2011,Back to Stay,tt2023367
2010,Winter Vacation,tt1701993
2009,"She, a Chinese",tt1389374
2008,Parque Vía,tt1183942
2007,The Rebirth,tt1086241
2006,Das Fräulein,tt0476999
2005,Nine Lives,tt0420015
2004,Private,tt0420090
2003,Khamosh Pani,tt0357283
2002,The Longing,tt0328727
2001,Off to the Revolution by a 2CV,tt0274323
2000,Father,tt0256630
1999,"Skin of Man, Heart of Beast",tt0208348
1998,Mr. Zhao,tt0166890
1997,The Mirror,tt0117056
1996,Nenette and Boni,tt0117221
1995,Raï,tt0114227
1994,Khomreh,tt0104606
1993,The Place on a Grey Tricorne,tt0128063
1992,Autumn Moon,tt0105198
1991,Johnny Suede,tt0104567
1990,Accidental Waltz,tt0128542
1989,Why Has Bodhi-Dharma Left for the East?,tt0097195
1988,"Distant Voices, Still Lives",tt0095037
1988,Schmetterlinge,tt0096052
1987,O Bobo,tt0092681
1986,Jezioro Bodeńskie,tt0091290
1985,Alpine Fire,tt0093235
1984,Stranger Than Paradise,tt0088184
1983,The Princess,tt0083522
1981,Chakra,tt0080514
1980,To Love the Damned,tt0081106
1979,The Herd,tt0078355
1978,The Idlers of the Fertile Valley,tt0128725
1977,Antonio Gramsci: The Days of Prison,tt0075688
1976,The Big Night,tt0074585
1975,The Son of Amir Is Dead,tt0128212
1974,Tűzoltó utca 25.,tt0070847
1973,The Illumination,tt0070217
1972,Bleak Moments,tt0066842
1971,They Have Changed Their Face,tt0067178
1971,On the Point of Death,tt0128269
1971,The Friends,tt0065393
1971,Private Road,tt0067620
1971,Znaki na drodze,tt0068016
1971,Mexico: The Frozen Revolution,tt0128344
1970,End of the Road,tt0065692
1970,Lilika,tt0128308
1970,This Transient Life,tt0128364
1970,Soleil O,tt0062285
1969,"Charles, Dead or Alive",tt0064153
1969,Those Who Wear Glasses,tt0065058
1969,Three Sad Tigers,tt0063718
1969,No Path Through Fire,tt0062428
1968,The Visionaries,tt0153569
1967,Entranced Earth,tt0062352
1966,Everyday Courage,tt0058259
1965,Four in the Morning,tt0060426
1964,Black Peter,tt0056919
1963,Transport from Paradise,tt0056609
1962,The Winner,tt0056635
1961,Fires on the Plain,tt0053121
1960,Il bell'Antonio,tt0053643
1959,Killer's Kiss,tt0048254
1958,Ten North Frederick,tt0052283
1957,Il grido,tt0050458
1955,Carmen Jones,tt0046828
1955,The Emperor's Nightingale,tt0049833
1954,Gate of Hell,tt0045935
1954,The Sheep Has Five Legs,tt0047250
1954,Rotation,tt0041826
1953,Julius Caesar,tt0042622
1953,The Composer Glinka,tt0044804
1953,The Glass Wall,tt0045824
1952,Hunted,tt0045201
1950,When Willie Comes Marching Home,tt0043129
1949,The Farm of Seven Sins,tt0040348
1948,Germany Year Zero,tt0039417
1947,Man About Town,tt0039823
1946,And Then There Were None,tt0037515
