year,title,IMDb ID
2025,White Snail,tt36558094
2024,Moon,tt29141179
2023,Do Not Expect Too Much from the End of the World,tt18162096
2021,A New Old Play,tt14864160
2019,Height of the Wave,tt10659880
2017,Good Manners,tt5480782
2016,Scarred Hearts,tt5204020
2015,Tikkun,tt4482858
2014,Listen Up Philip,tt3093546
2013,What Now? Remind Me,tt3102356
2012,Somebody Up There Likes Me,tt2014346
2011,Policeman,tt1978447
2010,Morgen,tt1567130
2009,"Tambourine, Drum",tt1435475
2008,33 Scenes from Life,tt1263736
2007,Pedro Costa,tt0869155
2006,Half Nelson,tt0468489
2005,Nobuhiro Suwa,tt0201743
2004,Tony Takitani,tt0420260
2003,Maria,tt0319821
2002,"I'm Taraneh, 15",tt0329347
2001,Abolfazl Jalili,tt0100234
2000,Gostanza da Libbiano,tt0257726
1968,Judit Elek,tt0085902
1949,Bicycle Thieves,tt0040522
