year,title,IMDb ID
2026,South Africa,tt1738298
2025,Fiume o morte!,tt34383611
2024,Rei,tt31409352
2023,Le spectre de Boko Haram,tt26345505
2022,EAMI,tt10865174
2021,Pebbles,tt13710226
2020,China,tt0478116
2019,Present.Perfect.,tt9585788
2018,China,tt0478116
2017,Sexy Durga,tt6227192
2016,Babak Jalali,tt0372212
2015,The Project of the Century,tt4333136
2015,Videophilia (and Other Viral Syndromes),tt3814870
2014,Japan,tt23474462
2013,My Dog Killer,tt2654428
2013,Fat Shaker,tt2617600
2012,Klip,tt1900908
2011,The Journals of Musan,tt1802806
2010,Paz Fábrega,tt0487725
2010,Alamar,tt1502396
2010,Mundane History,tt1515203
2009,Iran,tt4318022
2009,Breathless,tt1373120
2009,Wrong Rosary,tt1366981
2008,Denmark,tt7037712
2008,Wonderful Town,tt1135992
2008,Flower in the Pocket,tt1119614
2007,Love Conquers All,tt0877347
2007,AFR,tt0369878
2006,China,tt0478116
2006,Old Joy,tt0468526
2005,Daniele Gaglianone,tt0110963
2004,Kang-sheng Lee,tt0384344
2004,Summer in the Golden Valley,tt0353671
2004,En Route,tt0404532
2003,Russia,tt4136094
2003,Jealousy Is My Middle Name,tt0352464
2002,Netherlands,tt2418644
2002,Wild Bees,tt0243859
2001,Bad Company,tt0277119
2001,25 Watts,tt0280381
2000,Suzhou River,tt0234837
2000,Crane World,tt0213905
2000,Bye Bye Blue Bird,tt0208783
1999,Alexander Bashirov,tt0141974
1999,Following,tt0154506
1998,Buttoners,tt0128292
1998,The Inheritors,tt0141824
1997,Kazakhstan,tt0443453
1997,The Day a Pig Fell into the Well,tt0116005
1996,Sons,tt0116223
1996,Like Grains of Sand,tt0113922
1996,Small Faces,tt0114474
1995,Postman,tt0115028
