year,title,IMDb ID
2025,Joachim Lafosse,tt30786983
2020,Déa Kulumbegashvili,tt12444572
2019,The Endless Trench,tt7937168
2018,Benjamín Naishtat,tt8956390
2017,Anahí Berneri,tt7297954
2016,Hong Sang-soo,tt2776354
2015,Joachim Lafosse,tt30786983
2014,Carlos Vermut,tt4397346
2013,Fernando Eimbcke,tt0407246
2012,Fernando Trueba,tt1990217
2011,Filippos Tsitos,tt1699758
2010,Raúl Ruiz,tt1512310
2008,Michael Winterbottom,tt0791303
2007,Nick Broomfield,tt5639364
2006,Tom DiCillo,tt0104567
2005,Zhang Yang,tt0490244
2004,Xu Jinglei,tt0424234
2003,Bong Joon-ho,tt0353969
2002,Chen Kaige,tt0284066
2001,Jean-Pierre Améris,tt0260198
2000,Reza Parsa,tt0251091
1999,Zhang Yang,tt0490244
1999,Michel Deville,tt0081729
1998,Fernando León de Aranoa,tt0146468
1997,Claude Chabrol,tt0120018
1996,Francisco José Lombardi,tt0079515
1995,Mike Figgis,tt0113627
1994,Danny Boyle,tt0448134
1993,Philippe Lioret,tt0108359
1992,Goran Markovic,tt0105602
1991,Bruce McDonald,tt0102035
1990,Joel Coen,tt0100150
1988,Gonzalo Suárez,tt0093840
1987,Dominique Deruddere,tt0092794
1986,Axel Corti,tt0090336
1985,Francisco Lombardi,tt0439547
1984,Valeria Sarmiento,tt1928329
1979,Pál Gábor,tt0077165
1978,Manuel Gutiérrez Aragón,tt20214750
1977,Alf Brustellin,tt0077427
1968,Peter Collinson,tt0062112
1967,Janusz Morgenstern,tt1485750
1966,Mauro Bolognini,tt0056657
1965,Mario Monicelli,tt0105097
1964,La Tía Tula,tt0058695
1963,Robert Enrico,tt10172168
1962,Mauro Bolognini,tt0056657
1961,Alberto Lattuada,tt0053780
1960,Sidney Lumet,tt4664568
1959,North by Northwest,tt0053125
1959,Folco Quilici,tt0052861
1958,Alfred Hitchcock,tt0052357
1957,Alfréd Radok,tt0052357
1957,O. W. Fischer,tt0049213
1956,Pietro Germi,tt0049207
1954,Pedro Lazaga,tt0059659
1953,Rafael Gil,tt1929173
