year,title,IMDb ID
2025,Sundays,tt35513027
2024,Afternoons of Solitude,tt26245982
2023,The Rye Horn,tt21920634
2022,The Kings of the World,tt15399372
2020,Beginning,tt12444572
2017,The Disaster Artist,tt3521126
2016,I Am Not Madame Bovary,tt5918090
2015,Sparrows,tt3823018
2014,Magical Girl,tt3089326
2013,Bad Hair,tt3074610
2012,In the House,tt1964624
2010,Neds,tt1560970
2009,City of Life and Death,tt1124052
2008,Pandora's Box,tt1285130
2007,A Thousand Years of Good Prayers,tt0838233
2006,Half Moon,tt0847050
2006,Mon fils à moi,tt0446370
2005,Something Like Happiness,tt0406098
2004,Turtles Can Fly,tt0424227
2003,Gun-shy,tt0379484
2002,Mondays in the Sun,tt0319769
2001,A Cab for Three,tt0291507
1999,C'est quoi la vie?,tt0202283
1997,The Swindle,tt0120018
1996,Bwana,tt0115793
1996,Trojan Eddie,tt0117961
1995,Margaret's Museum,tt0113774
1994,Días contados,tt0109699
1993,The Beginning and the End,tt0110894
1993,Sara,tt0111072
1992,A Place in the World,tt0104774
1991,Butterfly Wings,tt0101290
1990,Letters from Alou,tt0099226
1989,Homer and Eddie,tt0097521
1988,On the Black Hill,tt0093674
1987,Wedding in Galilee,tt0094229
1986,Half of Heaven,tt0091531
1985,Yesterday,tt0090352
1984,Rumble Fish,tt0086216
1983,Entre Nous,tt0085370
1982,Demons in the Garden,tt0083813
1981,Tales of Ordinary Madness,tt0086410
1980,The Orchestra Conductor,tt0079090
1979,Autumn Marathon,tt0079679
1978,Alambrista!,tt0075654
1977,An Unfinished Piece for Mechanical Piano,tt0076446
1976,Gypsies Are Found Near Heaven,tt0073781
1975,Poachers,tt0073028
1974,Badlands,tt0069762
1973,The Spirit of the Beehive,tt0070040
1972,The Glass House,tt0068642
1971,Claire's Knee,tt0065772
1970,Dead of Summer,tt0065618
1969,The Rain People,tt0064873
1968,The Long Day's Dying,tt0063237
1967,Two for the Road,tt0062407
1966,I Was Happy Here,tt0060532
1965,Mirage,tt0059448
1964,"America, America",tt0056825
1963,Mafioso,tt0056210
1962,Arturo's Island,tt0056107
1961,One-Eyed Jacks,tt0055257
1960,"Romeo, Juliet and Darkness",tt0054250
1959,The Nun's Story,tt0053131
1957,Oh! Sabella,tt0050777
1956,The Railroad Man,tt0049207
1955,Days of Love,tt0047024
1954,Cursed Mountain,tt0047489
1953,I Was a Parish Priest,tt0045843
