year,title,IMDb ID
2023,Beyond Utopia,tt25470468
2022,Navalny,tt17041964
2021,Summer of Soul,tt7378922
2017,Chasing Coral,tt6333054
2016,Jim: The James Foley Story,tt5278466
2015,Elizabeth Chai Vasarhelyi,tt2545428
2014,Alive Inside: A Story of Music and Memory,tt2593392
2012,The Invisible War,tt2120152
2011,Buck,tt1753549
2010,"Waiting for ""Superman",tt0189506
2009,The Cove,tt1313104
2008,Fuel,tt1294164
2007,Hear and Now,tt0912587
2006,God Grew Tired of Us,tt0301555
2004,Born into Brothels,tt0388789
2003,My Flesh and Blood,tt0342804
2002,Amandla!: A Revolution in Four-Part Harmony,tt0303297
2001,Dogtown and Z-Boys,tt0275309
2000,Dark Days,tt0235327
1999,Genghis Blues,tt0187859
1998,Out of the Past,tt0141699
1997,Paul Monette: The Brink of Summer's End,tt0117310
1995,Ballot Measure 9,tt0112452
1994,Hoop Dreams,tt0110057
1992,Brother's Keeper,tt10311018
1990,Berkeley in the Sixties,tt0099121
1989,Audience Award Documentary,tt0189377
