year,title,IMDb ID
2026,Josephine,tt32321285
2024,Dìdi (弟弟),tt0087146
2023,The Persian Version,tt24076146
2022,Cha Cha Real Smooth,tt14376344
2021,CODA,tt10366460
2017,Crown Heights,tt3268340
2016,The Birth of a Nation,tt4196450
2015,Me and Earl and the Dying Girl,tt2582496
2014,Whiplash,tt2582802
2013,Fruitvale Station,tt2334649
2012,The Sessions,tt1866249
2011,Circumstance,tt1684628
2010,happythankyoumoreplease,tt1481572
2009,"Precious: Based on the Novel ""Push"" by Sapphire",tt0929632
2008,The Wackness,tt1082886
2007,Grace Is Gone,tt0772168
2006,Quinceañera,tt0451176
2005,Hustle & Flow,tt0410097
2004,Maria Full of Grace,tt0390221
2003,The Station Agent,tt0340377
2002,Real Women Have Curves,tt0296166
2001,Hedwig and the Angry Inch,tt0248845
2000,Two Family House,tt0202641
1997,Love Jones,tt0119572
1996,Care of the Spitfire Grill,tt0117718
1995,Picture Bride,tt0114129
1994,Spanking the Monkey,tt0111252
1993,El Mariachi,tt0104815
1992,The Waterdance,tt0105789
1991,One Cup of Coffee,tt0105109
1990,Longtime Companion,tt0100049
1989,"sex, lies and videotape",tt0098724
