year,title,IMDb ID
2025,The Perfect Neighbor,tt34962891
2024,Sugarcane,tt30319854
2023,A Still Small Voice,tt24079744
2021,Natalia Almada,tt13057076
2017,Peter Nicks,tt6159518
2016,"Life, Animated",tt3917210
2015,Matthew Heineman,tt2368254
2014,The Case Against 8,tt3264024
2013,Cutie and the Boxer,tt2355540
2012,The Queen of Versailles,tt2125666
2011,Resurrect Dead: The Mystery of the Toynbee Tiles,tt1787791
2010,Smash His Camera,tt1280015
2009,Natalia Almada,tt13057076
2008,American Teen,tt0486259
2007,War/Dance,tt0912599
2006,Iraq in Fragments,tt0492466
2005,The Devil and Daniel Johnston,tt0436231
2004,Super Size Me,tt0390521
2001,Dogtown and Z-Boys,tt0275309
2000,Paragraph 175,tt0236576
1998,Moment of Impact,tt0154893
