year,title,IMDb ID
2024,In the Summers,tt24805832
2023,The Accidental Getaway Driver,tt22751422
2022,Palm Trees and Power Lines,tt15257116
2021,CODA,tt10366460
2017,Beach Rats,tt6303866
2016,Swiss Army Man,tt4034354
2015,The Witch,tt4263482
2014,Fishing Without Nets,tt3469718
2013,Afternoon Delight,tt2312890
2012,Middle of Nowhere,tt1211890
2011,Martha Marcy May Marlene,tt1441326
2010,3 Backyards,tt1314190
2009,Sin Nombre,tt1127715
2008,Ballast,tt1153690
2007,Rocket Science,tt0477078
2006,A Guide to Recognizing Your Saints,tt0473488
2005,The Squid and the Whale,tt0367089
2004,Down to the Bone,tt0363579
2003,thirteen,tt0328538
2002,Tadpole,tt0271219
2001,Hedwig and the Angry Inch,tt0248845
2000,Girlfight,tt0210075
1999,Judy Berlin,tt0181618
1998,Pi,tt0138704
