year,title,IMDb ID
2024,Porcelain War,tt30294282
2023,Going to Mars: The Nikki Giovanni Project,tt7196012
2021,Summer of Soul,tt7378922
2017,Dina,tt6333058
2016,Weiner,tt5278596
2015,The Wolfpack,tt2415458
2014,Rich Hill,tt2548738
2012,The House I Live In,tt2125653
2011,How to Die in Oregon,tt1715802
2010,Restrepo,tt1559549
2009,We Live in Public,tt0498329
2008,Trouble the Water,tt1149405
2005,Why We Fight,tt0436971
2004,Dig!,tt0388888
2003,Capturing the Friedmans,tt0342172
2002,Daughter from Danang,tt0303281
2001,Southern Comfort,tt0276515
2000,Long Night's Journey into Day,tt0236447
1999,American Movie,tt0181288
1998,Frat House,tt0139221
1997,Girls Like Us,tt0116415
1996,Troublesome Creek: A Midwestern,tt0114735
1995,Crumb,tt0109508
1994,Freedom on My Mind,tt0109839
1993,Silverlake Life: The View from Here,tt0108138
1992,A Brief History of Time,tt0103882
1991,American Dream,tt0099028
1990,H-2 Worker,tt0123097
1989,For All Mankind,tt0097372
1988,Beirut: The Last Home Movie,tt0092630
1987,Sherman's March,tt0091943
1985,Seventeen,tt0086290
1984,Style Wars,tt0177262
1980,Style Wars,tt0177262
