year,title,IMDb ID
2024,In the Summers,tt24805832
2023,A Thousand and One,tt12427158
2022,Nanny,tt10931784
2021,CODA,tt10366460
2016,The Birth of a Nation,tt4196450
2015,Me and Earl and the Dying Girl,tt2582496
2014,Whiplash,tt2582802
2013,Fruitvale Station,tt2334649
2012,Beasts of the Southern Wild,tt2125435
2011,Like Crazy,tt1758692
2010,Winter's Bone,tt1399683
2008,Frozen River,tt0978759
2007,Padre Nuestro,tt0834938
2005,Forty Shades of Blue,tt0395543
2004,Primer,tt0390384
2003,American Splendor,tt0305206
2002,Personal Velocity: Three Portraits,tt0295238
2001,The Believer,tt0247199
2000,Girlfight,tt0210075
1999,Three Seasons,tt0138874
1998,Slam,tt0139615
1997,Sunday,tt0120244
1996,Welcome to the Dollhouse,tt0114906
1995,The Brothers McMullen,tt0112585
1994,What Happened Was,tt0111689
1993,Ruby in Paradise,tt0108000
1992,In the Soup,tt0104503
1991,Poison,tt0102687
1990,Chameleon Street,tt0101561
1989,True Love,tt0098528
1988,Heat and Sunlight,tt0093165
1987,Waiting for the Moon,tt0094286
1986,Smooth Talk,tt0090037
1985,Blood Simple,tt0086979
1984,Old Enough,tt0087837
1980,Old Enough,tt0087837
