year,title,IMDb ID
2024,Bob Trevino Likes It,tt28613536
2023,Raging Grace,tt14946978
2022,I Love My Dad,tt14935966
2021,The Fallout,tt11847410
2020,Shithouse,tt11618536
2019,Alice,tt9120416
2018,Thunder Road,tt7738450
2017,Most Beautiful Island,tt4866448
2016,The Arbalest,tt4015996
2015,Krisha,tt4266638
2014,Fort Tilden,tt3457734
2013,Short Term 12,tt2370248
2012,Gimme the Loot,tt2139919
2011,Natural Selection,tt1621426
2010,Tiny Furniture,tt1570989
2009,Made in China,tt1091229
2008,Cook County,tt1147682
2007,Cousin,tt0104952
2006,The Living and the Dead,tt0483719
2005,Four Eyed Monsters,tt0439182
2004,The Firefly,tt0379786
2003,Sexless,tt0357158
2002,Manito,tt0298050
2001,The Jimmy Show,tt0271020
2000,Amy's Orgasm,tt0280424
1999,Treasure Island,tt0248568
