year,title,IMDb ID
2012,It Was the Son,tt1891788
2012,Something in the Air,tt1846472
2011,Alps,tt1859446
2011,Robbie Ryan,tt1799508
2010,The Last Circus,tt1572491
2010,Silent Souls,tt1693830
2009,Life During Wartime,tt0808526
2009,Sylvie Olivé,tt4238910
2008,Paper Soldier,tt1284576
2008,Haile Gerima,tt1284592
2007,It's a Free World...,tt0807054
2007,"Lust, Caution",tt0808357
2006,Children of Men,tt0206634
2006,Peter Morgan,tt0436697
2005,"Good Night, and Good Luck",tt0433383
2005,Regular Lovers,tt0443844
2004,Howl's Moving Castle,tt0347149
1998,Autumn Tale,tt0137439
1998,The Cloud,tt0168594
1998,Shooting the Moon,tt0143093
1997,Chinese Box,tt0118851
1997,Dry Cleaning,tt0119773
1997,Ossos,tt0119844
1996,Deep Crimson,tt0117394
1996,Paz Alicia Garciadiego,tt0091261
1996,David Mansfield,tt0080855
1995,Det Means Girl,tt0129872
1995,Kenneth Branagh,tt0272839
1995,Maborosi,tt0113725
1994,Ashes of Time,tt0109688
1994,Gianni Amelio,tt0110299
1994,The Tit and the Moon,tt0111403
1993,"1, 2, 3, Sun",tt0108435
1993,Three Colours: Blue,tt0108394
1991,Germany Year 90 Nine Zero,tt0101307
1991,Sooni Taraporevala,tt0102456
1991,Scream of Stone,tt0102855
1990,Boys on the Outside,tt0100454
1990,"No Fear, No Die",tt0100536
1990,The Only Witness,tt0100297
1989,Australia,tt0096854
1989,Jules Feiffer,tt0067350
1988,The Black Monk,tt0092754
1988,Burning Secret,tt0094816
1988,Pablo Milanés,tt32033583
1988,Women on the Verge of a Nervous Breakdown,tt0095675
1987,The Gold Rimmed Glasses,tt0093453
1987,Hip Hip Hurrah!,tt0093194
1987,David Mamet,tt0093223
1987,Richard Robbins,tt0102797
