year,title,IMDb ID
2025,La grazia,tt34886821
2024,The Quiet Son,tt28601337
2023,Memory,tt19864828
2022,The Banshees of Inisherin,tt11813216
2021,On the Job: The Missing 8,tt3785036
2020,Padrenostro,tt10798072
2019,Martin Eden,tt4516162
2018,At Eternity's Gate,tt6938828
2017,The Insult,tt7048622
2016,The Distinguished Citizen,tt4562518
2015,Courted,tt4216908
2014,Hungry Hearts,tt3344922
2013,Miss Violence,tt3078242
2012,The Master,tt1560747
2011,Shame,tt1723811
2010,Essential Killing,tt1561768
2009,A Single Man,tt1315981
2008,Giovanna's Father,tt1249306
2007,The Assassination of Jesse James by the Coward Robert Ford,tt0443680
2006,Hollywoodland,tt0427969
2005,"Good Night, and Good Luck",tt0433383
2004,The Sea Inside,tt0369702
2003,21 Grams,tt0315733
2002,A Journey Called Love,tt0296145
2001,Light of My Eyes,tt0282701
2000,Before Night Falls,tt0247196
1999,Topsy-Turvy,tt0151568
1998,Hurlyburly,tt0119336
1997,One Night Stand,tt0119832
1996,Michael Collins,tt0117039
1996,The Funeral,tt0116378
1995,Deathmaker,tt0114704
1995,Nothing Personal,tt0114007
1994,In the Heat of the Sun,tt0111786
1994,The Bull,tt0111459
1993,A Soul Split in Two,tt0106286
1993,"1, 2, 3, Sun",tt0108435
1992,Glengarry Glen Ross,tt0104348
1991,My Own Private Idaho,tt0102494
1990,The Only Witness,tt0100297
1989,What Time Is It?,tt0097048
1988,Things Change,tt0096259
1987,Maurice,tt0093512
1986,Christmas Present,tt0091837
1985,Police,tt0089821
1984,Paar,tt0087868
1983,Streamers,tt0086377
1968,Faces,tt0062952
1967,The Morning,tt0061854
1966,Almost a Man,tt0059850
1965,Red Beard,tt0058888
1964,King and Country,tt0058263
1963,Tom Jones,tt0057590
1962,Birdman of Alcatraz,tt0055798
1961,Yojimbo,tt0055630
1960,Tunes of Glory,tt0054412
1959,Anatomy of a Murder,tt0052561
1958,The Horse's Mouth,tt0051739
1957,A Hatful of Rain,tt0050487
1956,La Traversée de Paris,tt0049877
1955,The Heroes Are Tired,tt0049833
1955,The Deep Blue Sea,tt0047978
1954,The Air of Paris,tt0046690
1954,Honour Among Thieves,tt0046451
1953,Good Lord Without Confession,tt0045569
1952,Death of a Salesman,tt0043458
1951,The Night Is My Kingdom,tt0151785
1950,The Asphalt Jungle,tt0042208
1949,Portrait of Jennie,tt0040705
1948,The Trial,tt0040714
1947,Monsieur Vincent,tt0039632
1942,Bengasi,tt0034506
1938,Pygmalion,tt0030637
1937,The Ruler,tt0028995
1936,The Story of Louis Pasteur,tt0028313
1935,Crime and Punishment,tt0132068
1934,Viva Villa!,tt0025948
1932,Dr. Jekyll and Mr. Hyde,tt0022835
