year,title,IMDb ID
2025,The Sun Rises on Us All,tt32907482
2024,Babygirl,tt30057084
2023,Priscilla,tt22041854
2022,Tár,tt14444726
2021,Parallel Mothers,tt12618926
2020,Pieces of a Woman,tt11161474
2019,Gloria Mundi,tt9584814
2018,The Favourite,tt5083738
2017,Hannah,tt4432006
2016,La La Land,tt3783958
2015,Per amor vostro,tt4898888
2014,Hungry Hearts,tt3344922
2013,A Street in Palermo,tt1966637
2012,Fill the Void,tt2219514
2011,A Simple Life,tt2008006
2010,Attenberg,tt1691323
2009,The Double Hour,tt1379222
2008,The Other One,tt1171704
2007,I'm Not There,tt0368794
2006,The Queen,tt0436697
2005,Don't Tell,tt0443446
2004,Vera Drake,tt0383694
2003,Rosenstrasse,tt0298131
2002,Far from Heaven,tt0297884
2001,Light of My Eyes,tt0282701
2000,The Goddess of 1967,tt0255195
1999,Une liaison pornographique,tt0204709
1998,Place Vendôme,tt0119901
1997,"Niagara, Niagara",tt0119780
1996,Ponette,tt0117359
1995,La Cérémonie,tt0112769
1995,The Story of a Poor Young Man,tt0114294
1994,"Two Brothers, My Sister",tt0111508
1994,Little Odessa,tt0110365
1993,Three Colours: Blue,tt0108394
1993,Where Are You? I'm Here,tt0109376
1992,The Story of Qiu Ju,tt0105197
1991,Edward II,tt0101798
1990,The Moon in the Mirror,tt0100075
1989,She's Been Away,tt0098307
1988,Story of Women,tt0096336
1988,Madame Sousatzka,tt0095564
1987,The Surrogate Woman,tt0091953
1986,A Tale of Love,tt0092017
1984,Full Moon in Paris,tt0087821
1983,Sugar Cane Alley,tt0086213
1981,Marianne and Juliane,tt0082081
1968,Teorema,tt0063678
1967,Dutchman,tt0060358
1966,The First Teacher,tt0059585
1965,Three Rooms in Manhattan,tt0179492
1964,To Love,tt0057861
1963,Muriel,tt0057336
1962,Thérèse Desqueyroux,tt0056581
1961,Thou Shalt Not Kill,tt0055244
1960,The Apartment,tt0053604
1959,Web of Passion,tt0053473
1958,The Black Orchid,tt0052631
1957,Malva,tt0049466
1956,Gervaise,tt0049259
1953,The Four Poster,tt0044631
1952,Europe '51,tt0043511
1951,A Streetcar Named Desire,tt0044081
1950,Caged,tt0042296
1949,The Snake Pit,tt0040806
1948,Hamlet,tt0040416
1947,Angelina,tt0039682
1942,The Golden City,tt0034800
1941,Annelie,tt0033345
1938,Marie Antoinette,tt0030418
1937,Marked Woman,tt0029217
1937,Kid Galahad,tt0029080
1936,Veille d'armes,tt0134075
1935,Episode,tt0026316
1934,Little Women,tt0024264
1932,The Sin of Madelon Claudet,tt0022386
