year,title,IMDb ID
2025,The Voice of Hind Rajab,tt36943034
2024,Vermiglio,tt28618488
2023,Evil Does Not Exist,tt28490044
2022,Saint Omer,tt15376894
2021,The Hand of God,tt12680684
2020,New Order,tt12474056
2019,An Officer and a Spy,tt2398149
2018,The Favourite,tt5083738
2017,Foxtrot,tt6896536
2016,Nocturnal Animals,tt4550098
2015,Anomalisa,tt2401878
2014,The Look of Silence,tt3521134
2013,Stray Dogs,tt3119416
2012,Paradise: Faith,tt2371824
2011,Terraferma,tt1641410
2010,Essential Killing,tt1561768
2009,Soul Kitchen,tt1244668
2008,Teza,tt1284592
2007,I'm Not There,tt0368794
2007,The Secret of the Grain,tt0487419
2006,Dry Season,tt0825241
2005,Mary,tt0425236
2004,The Sea Inside,tt0369702
2003,The Kite,tt0377610
2002,House of Fools,tt0332605
2001,Dog Days,tt0290661
2000,Before Night Falls,tt0247196
1999,The Wind Will Carry Us,tt0209463
1998,Next Stop Paradise,tt0151479
1997,Ovosodo,tt0122648
1996,Brigands,tt0115755
1995,God's Comedy,tt0112710
1995,The Star Maker,tt0114808
1994,Natural Born Killers,tt0110632
1993,Bad Boy Bubby,tt0106341
1992,Death of a Neapolitan Mathematician,tt0104918
1991,The Divine Comedy,tt0101739
1990,An Angel at My Table,tt0099040
1989,And Then There Was Light,tt0097297
1988,Camp de Thiaroye,tt0092716
1987,Hip Hip Hurrah!,tt0093194
1986,A Tale of Love,tt0092017
1986,Wild Pigeon,tt0090845
1985,"Tangos, the Exile of Gardel",tt0090125
1984,Favorites of the Moon,tt0087246
1983,Biquefarre,tt0086968
1982,Imperative,tt0084123
1981,Sweet Dreams,tt0083102
1981,They Don't Wear Black-tie,tt0082317
1968,Our Lady of the Turks,tt0063366
1967,China is Near,tt0061483
1967,La Chinoise,tt0061473
1966,Chappaqua,tt0059025
1966,Yesterday Girl,tt0060063
1965,I Am Twenty,tt0058361
1965,Modiga mindre män,tt0063316
1965,Simon of the Desert,tt0059719
1964,The Gospel According to St. Matthew,tt0059741
1964,Hamlet,tt0058126
1963,The Fire Within,tt0057058
1963,Introduction to Life,tt0175312
1962,My Life to Live,tt0056663
1961,Peace to Him Who Enters,tt0055181
1960,Rocco and His Brothers,tt0054248
1959,The Magician,tt0051365
1958,The Lovers,tt0052556
1958,La sfida,tt0051530
1954,Executive Suite,tt0046963
1952,The Curious Adventures of Mr. Wonderbird,tt0044414
1952,Mandy,tt0045654
1951,A Streetcar Named Desire,tt0044081
