year,title,IMDb ID
2025,The Smashing Machine,tt11214558
2024,The Brutalist,tt8999762
2023,Io Capitano,tt14225838
2022,Bones and All,tt10168670
2021,The Power of the Dog,tt10293406
2020,Wife of a Spy,tt11917942
2019,About Endlessness,tt6817944
2018,The Sisters Brothers,tt4971344
2017,Custody,tt6002232
2016,The Untamed,tt5265960
2016,Paradise,tt4551318
2015,The Clan,tt4411504
2014,The Postman's White Nights,tt3591984
2013,Miss Violence,tt3078242
2012,The Master,tt1560747
2011,People Mountain People Sea,tt2053422
2010,The Last Circus,tt1572491
2009,Women Without Men,tt1498887
2008,Paper Soldier,tt1284576
2007,Redacted,tt0937237
2007,Dog Altogether,tt1095091
2006,Private Fears in Public Places,tt0498120
2006,Golden Door,tt0465188
2005,Regular Lovers,tt0443844
2005,Xiaozhan,tt10734928
2004,3-Iron,tt0423866
2003,Zatōichi,tt0363226
2002,Oasis,tt0320193
2001,Secret Ballot,tt0290823
2000,Uttara,tt0255665
1999,Seventeen Years,tt0213695
1998,"Black Cat, White Cat",tt0118843
1994,Heavenly Creatures,tt0110005
1994,Little Odessa,tt0110365
1994,The Bull,tt0111459
1993,Kosh ba kosh,tt0107340
1992,A Heart in Winter,tt0105682
1992,Jamón jamón,tt0104545
1992,Luxury Hotel,tt0104445
1991,The Fisher King,tt0101889
1991,Raise the Red Lantern,tt0101640
1990,Goodfellas,tt0099685
1990,Sirup,tt0100627
1989,Death of a Tea Master,tt0098287
1989,Recollections of the Yellow House,tt0098175
1988,Landscape in the Mist,tt0096288
1987,Maurice,tt0093512
1987,Long Live the Lady!,tt0093454
1986,A King and His Movie,tt0089794
1985,Dust,tt0089061
1984,Sonatine,tt0088151
1983,Sugar Cane Alley,tt0086213
1982,The Hes Case,tt0084697
1981,Do You Remember Dolly Bell?,tt0083089
1957,White Nights,tt0050782
1955,Le Amiche,tt0047821
1955,The Big Knife,tt0047880
1955,Ciske the Rat,tt0047941
1955,The Grasshopper,tt0048504
1954,On the Waterfront,tt0047296
1954,Sansho the Bailiff,tt0047445
1954,Seven Samurai,tt0047478
1954,La Strada,tt0047528
1953,Little Fugitive,tt0046004
1953,Moulin Rouge,tt0044926
1953,Sadko,tt0046264
1953,Ugetsu,tt0046478
1953,I Vitelloni,tt0046521
